in s,C4 in V
6.0775200E-05,8.84355E-04
6.0958400E-05,9.38066E-04
6.1141600E-05,9.23418E-04
6.1324800E-05,9.08770E-04
6.1508000E-05,8.94121E-04
6.1691200E-05,8.84355E-04
6.1874400E-05,9.13652E-04
6.2057600E-05,9.03887E-04
6.2240800E-05,9.13652E-04
6.2424000E-05,9.13652E-04
6.2607200E-05,9.28301E-04
6.2790400E-05,9.33184E-04
6.2973600E-05,9.13652E-04
6.3156800E-05,9.13652E-04
6.3340000E-05,9.13652E-04
6.3523200E-05,9.28301E-04
6.3706400E-05,8.89238E-04
6.3889600E-05,8.94121E-04
6.4072800E-05,9.23418E-04
6.4256000E-05,9.33184E-04
6.4439200E-05,9.08770E-04
6.4622400E-05,9.18535E-04
6.4805600E-05,9.47832E-04
6.4988800E-05,9.08770E-04
6.5172000E-05,9.28301E-04
6.5355200E-05,9.23418E-04
6.5538400E-05,9.38066E-04
6.5721600E-05,9.67363E-04
6.5904800E-05,9.23418E-04
6.6088000E-05,9.18535E-04
6.6271200E-05,8.89238E-04
6.6454400E-05,9.08770E-04
6.6637600E-05,9.23418E-04
6.6820800E-05,9.08770E-04
6.7004000E-05,-4.82617E-05
6.7187200E-05,-3.36133E-05
6.7370400E-05,-5.80273E-05
6.7553600E-05,-6.77930E-05
6.7736800E-05,-7.26758E-05
6.7920000E-05,-4.82617E-05
6.8103200E-05,-6.29102E-05
6.8286400E-05,-5.31445E-05
6.8469600E-05,-7.75586E-05
6.8652800E-05,-4.82617E-05
6.8836000E-05,-8.24414E-05
6.9019200E-05,-6.77930E-05
6.9202400E-05,-6.29102E-05
6.9385600E-05,-3.84961E-05
6.9568800E-05,-8.24414E-05
6.9752000E-05,-3.84961E-05
6.9935200E-05,-3.84961E-05
7.0118400E-05,-5.80273E-05
7.0301600E-05,-1.26387E-04
7.0484800E-05,-8.73242E-05
7.0668000E-05,-6.29102E-05
7.0851200E-05,-8.24414E-05
7.1034400E-05,-1.06855E-04
7.1217600E-05,-1.11738E-04
7.1400800E-05,-8.24414E-05
7.1584000E-05,-1.01973E-04
7.1767200E-05,-8.24414E-05
7.1950400E-05,-1.21504E-04
7.2133600E-05,-6.29102E-05
7.2316800E-05,-1.01973E-04
7.2500000E-05,-1.11738E-04
7.2683200E-05,-8.73242E-05
7.2866400E-05,-1.16621E-04
7.3049600E-05,-1.06855E-04
7.3232800E-05,-6.77930E-05
7.3416000E-05,-1.16621E-04
7.3599200E-05,-6.77930E-05
7.3782400E-05,-9.22070E-05
7.3965600E-05,-5.31445E-05
7.4148800E-05,-9.22070E-05
7.4332000E-05,-6.29102E-05
7.4515200E-05,-6.77930E-05
7.4698400E-05,-1.11738E-04
7.4881600E-05,-8.73242E-05
7.5064800E-05,-8.73242E-05
7.5248000E-05,-6.77930E-05
7.5431200E-05,-8.24414E-05
7.5614400E-05,-7.26758E-05
7.5797600E-05,-8.73242E-05
7.5980800E-05,-7.75586E-05
7.6164000E-05,-1.01973E-04
7.6347200E-05,-1.01973E-04
7.6530400E-05,-8.73242E-05
7.6713600E-05,-6.77930E-05
7.6896800E-05,-6.29102E-05
7.7080000E-05,-7.75586E-05
7.7263200E-05,-9.70898E-05
7.7446400E-05,-9.70898E-05
7.7629600E-05,-1.01973E-04
7.7812800E-05,-1.11738E-04
7.7996000E-05,-7.75586E-05
7.8179200E-05,-7.75586E-05
7.8362400E-05,-7.75586E-05
7.8545600E-05,-9.22070E-05
7.8728800E-05,-4.82617E-05
7.8912000E-05,-5.31445E-05
7.9095200E-05,-9.22070E-05
7.9278400E-05,-8.73242E-05
7.9461600E-05,-5.31445E-05
7.9644800E-05,-8.73242E-05
7.9828000E-05,-6.29102E-05
8.0011200E-05,8.89238E-04
8.0194400E-05,8.89238E-04
8.0377600E-05,9.33184E-04
8.0560800E-05,8.74590E-04
8.0744000E-05,8.94121E-04
8.0927200E-05,8.89238E-04
8.1110400E-05,9.03887E-04
8.1293600E-05,8.94121E-04
8.1476800E-05,9.28301E-04
8.1660000E-05,9.08770E-04
8.1843200E-05,8.99004E-04
8.2026400E-05,9.13652E-04
8.2209600E-05,9.28301E-04
8.2392800E-05,8.99004E-04
8.2576000E-05,9.38066E-04
8.2759200E-05,9.28301E-04
8.2942400E-05,8.84355E-04
8.3125600E-05,9.23418E-04
8.3308800E-05,9.52715E-04
8.3492000E-05,8.94121E-04
8.3675200E-05,9.08770E-04
8.3858400E-05,8.99004E-04
8.4041600E-05,8.89238E-04
8.4224800E-05,8.99004E-04
8.4408000E-05,9.28301E-04
8.4591200E-05,9.28301E-04
8.4774400E-05,9.67363E-04
8.4957600E-05,9.03887E-04
8.5140800E-05,9.28301E-04
8.5324000E-05,9.08770E-04
8.5507200E-05,9.33184E-04
8.5690400E-05,9.28301E-04
8.5873600E-05,9.38066E-04
8.6056800E-05,9.47832E-04
8.6240000E-05,9.28301E-04
8.6423200E-05,9.62480E-04
8.6606400E-05,9.13652E-04
8.6789600E-05,9.38066E-04
8.6972800E-05,-4.82617E-05
8.7156000E-05,-1.01973E-04
8.7339200E-05,-3.84961E-05
8.7522400E-05,-5.31445E-05
8.7705600E-05,-4.82617E-05
8.7888800E-05,-5.80273E-05
8.8072000E-05,-4.33789E-05
8.8255200E-05,-2.87305E-05
8.8438400E-05,-4.33789E-05
8.8621600E-05,-3.36133E-05
8.8804800E-05,-6.77930E-05
8.8988000E-05,-5.80273E-05
8.9171200E-05,-1.89648E-05
8.9354400E-05,-4.82617E-05
8.9537600E-05,-5.80273E-05
8.9720800E-05,-4.33789E-05
8.9904000E-05,-5.80273E-05
9.0087200E-05,-6.29102E-05
9.0270400E-05,-4.31641E-06
9.0453600E-05,-6.77930E-05
9.0636800E-05,-5.31445E-05
9.0820000E-05,-4.82617E-05
9.1003200E-05,-4.33789E-05
9.1186400E-05,-8.24414E-05
9.1369600E-05,-5.80273E-05
9.1552800E-05,-6.77930E-05
9.1736000E-05,-5.31445E-05
9.1919200E-05,-7.75586E-05
9.2102400E-05,-7.26758E-05
9.2285600E-05,-6.77930E-05
9.2468800E-05,-7.26758E-05
9.2652000E-05,-3.36133E-05
9.2835200E-05,-4.33789E-05
9.3018400E-05,-8.24414E-05
9.3201600E-05,-3.84961E-05
9.3384800E-05,-8.24414E-05
9.3568000E-05,-8.73242E-05
9.3751200E-05,-1.06855E-04
9.3934400E-05,-9.22070E-05
9.4117600E-05,-8.73242E-05
9.4300800E-05,-9.22070E-05
9.4484000E-05,-9.22070E-05
9.4667200E-05,-7.75586E-05
9.4850400E-05,-9.22070E-05
9.5033600E-05,-4.82617E-05
9.5216800E-05,-8.73242E-05
9.5400000E-05,-8.73242E-05
9.5583200E-05,-8.24414E-05
9.5766400E-05,-6.29102E-05
9.5949600E-05,-8.73242E-05
9.6132800E-05,-8.73242E-05
9.6316000E-05,-1.06855E-04
9.6499200E-05,-7.75586E-05
9.6682400E-05,-9.22070E-05
9.6865600E-05,-6.77930E-05
9.7048800E-05,-6.29102E-05
9.7232000E-05,-8.24414E-05
9.7415200E-05,-5.80273E-05
9.7598400E-05,-8.24414E-05
9.7781600E-05,-8.24414E-05
9.7964800E-05,-8.24414E-05
9.8148000E-05,-1.21504E-04
9.8331200E-05,-1.01973E-04
9.8514400E-05,-6.77930E-05
9.8697600E-05,-6.77930E-05
9.8880800E-05,-1.11738E-04
