in s,C4 in V
7.8014400E-05,1.25781E-05
7.8197600E-05,1.25781E-05
7.8380800E-05,1.25781E-05
7.8564000E-05,-2.64844E-05
7.8747200E-05,-6.95312E-06
7.8930400E-05,-6.95312E-06
7.9113600E-05,1.25781E-05
7.9296800E-05,3.21094E-05
7.9480000E-05,-6.95312E-06
7.9663200E-05,9.07031E-05
7.9846400E-05,1.25781E-05
8.0029600E-05,9.75867E-03
8.0212800E-05,9.89539E-03
8.0396000E-05,9.91492E-03
8.0579200E-05,9.83680E-03
8.0762400E-05,9.91492E-03
8.0945600E-05,9.91492E-03
8.1128800E-05,9.97352E-03
8.1312000E-05,9.91492E-03
8.1495200E-05,9.89539E-03
8.1678400E-05,9.93445E-03
8.1861600E-05,9.87586E-03
8.2044800E-05,9.91492E-03
8.2228000E-05,9.97352E-03
8.2411200E-05,9.89539E-03
8.2594400E-05,9.93445E-03
8.2777600E-05,9.93445E-03
8.2960800E-05,9.93445E-03
8.3144000E-05,9.95398E-03
8.3327200E-05,9.97352E-03
8.3510400E-05,9.93445E-03
8.3693600E-05,9.93445E-03
8.3876800E-05,9.97352E-03
8.4060000E-05,9.97352E-03
8.4243200E-05,9.95398E-03
8.4426400E-05,9.99305E-03
8.4609600E-05,9.89539E-03
8.4792800E-05,9.95398E-03
8.4976000E-05,9.93445E-03
8.5159200E-05,9.95398E-03
8.5342400E-05,9.91492E-03
8.5525600E-05,9.95398E-03
8.5708800E-05,9.91492E-03
8.5892000E-05,9.97352E-03
8.6075200E-05,9.95398E-03
8.6258400E-05,9.95398E-03
8.6441600E-05,9.97352E-03
8.6624800E-05,1.00126E-02
8.6808000E-05,9.95398E-03
8.6991200E-05,2.07891E-04
8.7174400E-05,9.07031E-05
8.7357600E-05,1.10234E-04
8.7540800E-05,1.10234E-04
8.7724000E-05,1.88359E-04
8.7907200E-05,3.21094E-05
8.8090400E-05,1.49297E-04
8.8273600E-05,7.11719E-05
8.8456800E-05,9.07031E-05
8.8640000E-05,5.16406E-05
8.8823200E-05,7.11719E-05
8.9006400E-05,1.10234E-04
8.9189600E-05,1.10234E-04
8.9372800E-05,5.16406E-05
8.9556000E-05,1.29766E-04
8.9739200E-05,7.11719E-05
8.9922400E-05,1.49297E-04
9.0105600E-05,7.11719E-05
9.0288800E-05,7.11719E-05
9.0472000E-05,5.16406E-05
9.0655200E-05,9.07031E-05
9.0838400E-05,5.16406E-05
9.1021600E-05,5.16406E-05
9.1204800E-05,7.11719E-05
9.1388000E-05,7.11719E-05
9.1571200E-05,9.07031E-05
9.1754400E-05,1.10234E-04
9.1937600E-05,1.10234E-04
9.2120800E-05,1.10234E-04
9.2304000E-05,1.25781E-05
9.2487200E-05,7.11719E-05
9.2670400E-05,3.21094E-05
9.2853600E-05,7.11719E-05
9.3036800E-05,1.25781E-05
9.3220000E-05,1.25781E-05
9.3403200E-05,9.07031E-05
9.3586400E-05,1.49297E-04
9.3769600E-05,7.11719E-05
9.3952800E-05,1.25781E-05
9.4136000E-05,7.11719E-05
9.4319200E-05,7.11719E-05
9.4502400E-05,1.25781E-05
9.4685600E-05,1.25781E-05
9.4868800E-05,7.11719E-05
9.5052000E-05,1.10234E-04
9.5235200E-05,1.29766E-04
9.5418400E-05,5.16406E-05
9.5601600E-05,-6.95312E-06
9.5784800E-05,1.29766E-04
9.5968000E-05,7.11719E-05
9.6151200E-05,5.16406E-05
9.6334400E-05,7.11719E-05
9.6517600E-05,1.29766E-04
9.6700800E-05,7.11719E-05
9.6884000E-05,3.21094E-05
9.7067200E-05,-6.95312E-06
9.7250400E-05,1.10234E-04
9.7433600E-05,1.10234E-04
9.7616800E-05,3.21094E-05
9.7800000E-05,3.21094E-05
9.7983200E-05,9.07031E-05
9.8166400E-05,1.25781E-05
9.8349600E-05,9.07031E-05
9.8532800E-05,9.07031E-05
9.8716000E-05,1.29766E-04
9.8899200E-05,1.10234E-04
9.9082400E-05,9.07031E-05
9.9265600E-05,5.16406E-05
9.9448800E-05,1.29766E-04
9.9632000E-05,-6.95312E-06
9.9815200E-05,1.25781E-05
9.9998400E-05,9.79773E-03
1.0018160E-04,9.89539E-03
1.0036480E-04,9.93445E-03
1.0054800E-04,9.97352E-03
1.0073120E-04,9.93445E-03
1.0091440E-04,1.00126E-02
1.0109760E-04,9.87586E-03
1.0128080E-04,9.93445E-03
1.0146400E-04,9.93445E-03
1.0164720E-04,9.95398E-03
1.0183040E-04,9.95398E-03
1.0201360E-04,9.91492E-03
1.0219680E-04,9.99305E-03
1.0238000E-04,9.99305E-03
1.0256320E-04,9.95398E-03
1.0274640E-04,9.95398E-03
1.0292960E-04,9.97352E-03
1.0311280E-04,9.99305E-03
1.0329600E-04,9.91492E-03
1.0347920E-04,1.00126E-02
1.0366240E-04,9.97352E-03
1.0384560E-04,1.00126E-02
1.0402880E-04,9.91492E-03
1.0421200E-04,9.99305E-03
1.0439520E-04,9.93445E-03
1.0457840E-04,9.97352E-03
1.0476160E-04,9.85633E-03
1.0494480E-04,9.93445E-03
1.0512800E-04,9.95398E-03
1.0531120E-04,9.95398E-03
