in s,M2 in V
-2.089812E-01,-1.5795288E+00
-2.089716E-01,-1.5794983E+00
-2.089620E-01,-1.5796204E+00
-2.089524E-01,-1.5796509E+00
-2.089428E-01,-1.5795288E+00
-2.089332E-01,-1.5795593E+00
-2.089236E-01,-1.5794983E+00
-2.089140E-01,-1.5794373E+00
-2.089044E-01,-1.5794678E+00
-2.088948E-01,-1.5794678E+00
-2.088852E-01,-1.5794373E+00
-2.088756E-01,-1.5795593E+00
-2.088660E-01,-1.5795288E+00
-2.088564E-01,-1.5794678E+00
-2.088468E-01,-1.5794678E+00
-2.088372E-01,-1.5794983E+00
-2.088276E-01,-1.5794678E+00
-2.088180E-01,-1.5796814E+00
-2.088084E-01,-1.5796204E+00
-2.087988E-01,-1.5796204E+00
-2.087892E-01,-1.5795593E+00
-2.087796E-01,-1.5794983E+00
-2.087700E-01,-1.5794678E+00
-2.087604E-01,-1.5795593E+00
-2.087508E-01,-1.5795288E+00
-2.087412E-01,-1.5794067E+00
-2.087316E-01,-1.5794067E+00
-2.087220E-01,-1.5793762E+00
-2.087124E-01,-1.5794983E+00
-2.087028E-01,-1.5794678E+00
-2.086932E-01,-1.5794067E+00
-2.086836E-01,-1.5793762E+00
-2.086740E-01,-1.5794373E+00
-2.086644E-01,-1.5795593E+00
-2.086548E-01,-1.5794983E+00
-2.086452E-01,-1.5795288E+00
-2.086356E-01,-1.5794678E+00
-2.086260E-01,-1.5794983E+00
-2.086164E-01,-1.5794983E+00
-2.086068E-01,-1.5796509E+00
-2.085972E-01,-1.5796814E+00
-2.085876E-01,-1.5794983E+00
-2.085780E-01,-1.5796204E+00
-2.085684E-01,-1.5794983E+00
-2.085588E-01,-1.5793762E+00
-2.085492E-01,-1.5794678E+00
-2.085396E-01,-1.5794373E+00
-2.085300E-01,-1.5792847E+00
-2.085204E-01,-1.5793762E+00
-2.085108E-01,-1.5794983E+00
-2.085012E-01,-1.5794678E+00
-2.084916E-01,-1.5793762E+00
-2.084820E-01,-1.5793457E+00
-2.084724E-01,-1.5794373E+00
-2.084628E-01,-1.5793762E+00
-2.084532E-01,-1.5794067E+00
-2.084436E-01,-1.5794678E+00
-2.084340E-01,-1.5795288E+00
-2.084244E-01,-1.5795593E+00
-2.084148E-01,-1.5795898E+00
-2.084052E-01,-1.5795898E+00
-2.083956E-01,-1.5796509E+00
-2.083860E-01,-1.5795593E+00
-2.083764E-01,-1.5795288E+00
-2.083668E-01,-1.5795288E+00
-2.083572E-01,-1.5794983E+00
-2.083476E-01,-1.5794067E+00
-2.083380E-01,-1.5794373E+00
-2.083284E-01,-1.5793457E+00
-2.083188E-01,-1.5792847E+00
-2.083092E-01,-1.5792847E+00
-2.082996E-01,-1.5793762E+00
-2.082900E-01,-1.5794067E+00
-2.082804E-01,-1.5794373E+00
-2.082708E-01,-1.5794678E+00
-2.082612E-01,-1.5794678E+00
-2.082516E-01,-1.5796814E+00
-2.082420E-01,-1.5796204E+00
-2.082324E-01,-1.5795593E+00
-2.082228E-01,-1.5795898E+00
-2.082132E-01,-1.5796204E+00
-2.082036E-01,-1.5795593E+00
-2.081940E-01,-1.5795593E+00
-2.081844E-01,-1.5794983E+00
-2.081748E-01,-1.5794983E+00
-2.081652E-01,-1.5795593E+00
-2.081556E-01,-1.5795288E+00
-2.081460E-01,-1.5795288E+00
-2.081364E-01,-1.5794678E+00
-2.081268E-01,-1.5794983E+00
-2.081172E-01,-1.5794067E+00
-2.081076E-01,-1.5795288E+00
-2.080980E-01,-1.5794678E+00
-2.080884E-01,-1.5794373E+00
-2.080788E-01,-1.5793762E+00
-2.080692E-01,-1.5793152E+00
-2.080596E-01,-1.5794067E+00
-2.080500E-01,-1.5795288E+00
-2.080404E-01,-1.5795288E+00
-2.080308E-01,-1.5795593E+00
-2.080212E-01,-1.5795898E+00
-2.080116E-01,-1.5796509E+00
-2.080020E-01,-1.5797424E+00
-2.079924E-01,-1.5796814E+00
-2.079828E-01,-1.5796204E+00
-2.079732E-01,-1.5795898E+00
-2.079636E-01,-1.5797729E+00
